lead_ref,nombre_anon,whatsapp_anon,fecha_ingreso,estado,ultimo_mensaje,seguimientos,listo_para_cerrar,fecha_cierre,datos_json
L01,Lead 01,549261*****01,2026-08-21T15:25:52.636070Z,ACTIVO,2026-08-21T15:27:21.150415Z,0,true,2026-08-21T15:28:01.327100Z,"{""documento_lead"": ""******70"", ""servicio_lead"": ""Corte de pelo""}"
L02,Lead 02,549261*****02,2026-08-21T15:36:04.807185Z,ACTIVO,2026-08-21T16:16:49.276534Z,1,false,,{}
L03,Lead 03,549261*****03,2026-06-02T15:12:57.538162Z,ACTIVO,2026-06-02T15:16:37.585153Z,0,false,,{}
L04,Lead 04,549261*****04,2026-06-05T18:05:28.589464Z,ACTIVO,2026-06-05T18:36:06.747568Z,0,false,,"{""servicio_lead"": ""Corte de pelo""}"
L05,Lead 05,549261*****05,2026-06-09T21:40:05.940658Z,ACTIVO,2026-06-09T22:03:06.636193Z,0,false,,{}
L06,Lead 06,549261*****06,2026-06-12T20:46:43.809521Z,ACTIVO,2026-06-12T20:48:24.966860Z,0,false,,{}
L07,Lead 07,549261*****07,2026-06-17T20:26:16.663241Z,ACTIVO,2026-06-17T20:28:05.230869Z,0,false,,"{""servicio_lead"": ""Corte + barba""}"
L08,Lead 08,549261*****08,2026-06-19T16:36:24.051338Z,ACTIVO,2026-06-19T17:11:26.068890Z,0,false,,{}
L09,Lead 09,549261*****09,2026-06-24T20:01:12.609092Z,ACTIVO,2026-06-24T20:11:17.148962Z,0,false,,{}
L10,Lead 10,549261*****10,2026-06-27T14:49:25.876930Z,ACTIVO,2026-06-27T14:49:31.852377Z,0,false,,{}
L11,Lead 11,549261*****11,2026-07-01T17:21:28.559400Z,HUMANO,2026-07-01T17:27:26.088769Z,0,true,,"{""documento_lead"": ""******92"", ""servicio_lead"": ""Corte de pelo""}"
L12,Lead 12,549261*****12,2026-07-03T18:47:20.782663Z,ACTIVO,2026-07-03T18:49:36.902708Z,0,true,,"{""documento_lead"": ""******65"", ""servicio_lead"": ""Corte + barba""}"
L13,Lead 13,549261*****13,2026-07-08T19:38:28.804050Z,HUMANO,2026-07-08T19:41:48.094651Z,0,true,,"{""documento_lead"": ""******12"", ""servicio_lead"": ""Corte de pelo""}"
L14,Lead 14,549261*****14,2026-07-11T14:41:08.287140Z,ACTIVO,2026-07-11T14:45:14.049997Z,0,true,,"{""documento_lead"": ""******72"", ""servicio_lead"": ""Corte + barba""}"
L15,Lead 15,549261*****15,2026-07-14T21:05:53.028146Z,HUMANO,2026-07-14T21:11:14.746898Z,0,true,,"{""documento_lead"": ""******81"", ""servicio_lead"": ""Corte de pelo""}"
L16,Lead 16,549261*****16,2026-07-17T21:32:09.537706Z,ACTIVO,2026-07-17T21:32:40.944040Z,0,true,,"{""documento_lead"": ""******56"", ""servicio_lead"": ""Corte + barba""}"
L17,Lead 17,549261*****17,2026-07-18T21:42:14.195291Z,HUMANO,2026-07-19T00:15:43.402252Z,1,false,,{}
L18,Lead 18,549261*****18,2026-07-22T18:02:37.323654Z,HUMANO,2026-07-22T20:41:51.881900Z,1,false,,{}
L19,Lead 19,549261*****19,2026-07-28T17:38:04.350343Z,HUMANO,2026-07-28T20:00:41.928183Z,1,false,,{}
L20,Lead 20,549261*****20,2026-07-29T17:46:39.557785Z,HUMANO,2026-07-29T19:42:41.040139Z,1,false,,{}
L21,Lead 21,549261*****21,2026-07-30T19:44:06.543513Z,CERRADO,2026-07-30T20:02:19.544286Z,0,true,2026-07-31T23:28:44.126128Z,"{""documento_lead"": ""******54"", ""servicio_lead"": ""Corte de pelo""}"
L22,Lead 22,549261*****22,2026-07-31T21:01:03.130408Z,CERRADO,2026-07-31T21:55:14.681991Z,0,false,2026-08-01T16:13:58.067266Z,"{""servicio_lead"": ""Corte + barba""}"
L23,Lead 23,549261*****23,2026-08-06T17:30:16.046289Z,CERRADO,2026-08-06T19:50:23.297088Z,1,true,2026-08-07T02:10:45.932378Z,"{""documento_lead"": ""******83"", ""servicio_lead"": ""Corte de pelo""}"
L24,Lead 24,549261*****24,2026-08-14T20:07:49.509341Z,CERRADO,2026-08-14T20:11:12.224777Z,0,false,2026-08-16T03:42:04.037369Z,"{""servicio_lead"": ""Corte de pelo""}"
L25,Lead 25,549261*****25,2026-08-18T19:03:23.086191Z,ACTIVO,2026-08-18T19:03:29.973402Z,0,false,,{}
L26,Lead 26,549261*****26,2026-08-21T20:57:09.078360Z,HUMANO,2026-08-21T22:07:42.135011Z,0,false,,{}
