lead_ref,whatsapp_anon,fecha_hora,origen,mensaje
L01,549261*****01,2026-08-21T15:25:55.680261Z,LEAD,"
Hola
"
L01,549261*****01,2026-08-21T15:25:55.688268Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L01,549261*****01,2026-08-21T15:26:52.662959Z,LEAD,"
Cuál es el precio del corte ?
"
L01,549261*****01,2026-08-21T15:26:52.670898Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L01,549261*****01,2026-08-21T15:27:21.716392Z,LEAD,"
Quiero reservar turno
"
L01,549261*****01,2026-08-21T15:27:21.724696Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L01,549261*****01,2026-08-21T15:28:02.189312Z,LEAD,"
Necesito corte de pelo , ******70
"
L01,549261*****01,2026-08-21T15:28:02.197797Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L02,549261*****02,2026-08-21T15:36:06.780757Z,LEAD,"
hola buenas
"
L02,549261*****02,2026-08-21T15:36:06.789126Z,BOT,"Hola, ¿cómo estás? ¿En qué puedo ayudarte hoy con los servicios de RHbarber?"
L02,549261*****02,2026-08-21T16:16:50.702494Z,BOT,"Hola Facu Ginestar 🍐, te escribimos desde Barberia RHbarber. estamos disponibles para cualquier consulta!"
L03,549261*****03,2026-06-02T15:13:03.839588Z,LEAD,"Hola, buenas"
L03,549261*****03,2026-06-02T15:13:03.873048Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L03,549261*****03,2026-06-02T15:16:37.565862Z,LEAD,Qué precio tiene el corte?
L03,549261*****03,2026-06-02T15:16:37.585153Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L04,549261*****04,2026-06-05T18:05:31.472358Z,LEAD,hola
L04,549261*****04,2026-06-05T18:05:31.495386Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L04,549261*****04,2026-06-05T18:08:18.993860Z,LEAD,cuanto el corte de pelo solo
L04,549261*****04,2026-06-05T18:08:19.016173Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L04,549261*****04,2026-06-05T18:36:06.747568Z,LEAD,"ok lo pienso y te aviso, gracias"
L05,549261*****05,2026-06-09T21:40:11.913118Z,LEAD,"Buen día, precios y horarios?"
L05,549261*****05,2026-06-09T21:40:11.949980Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L05,549261*****05,2026-06-09T21:40:11.965096Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L05,549261*****05,2026-06-09T22:03:06.608440Z,LEAD,y de qué hora a qué hora abren?
L05,549261*****05,2026-06-09T22:03:06.636193Z,BOT,"Atendemos de martes a sábado de 10 a 20 h, sin turno para consultas y con turno para cortes."
L06,549261*****06,2026-06-12T20:46:49.255138Z,LEAD,hacen fade / degradé?
L06,549261*****06,2026-06-12T20:46:49.282214Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L06,549261*****06,2026-06-12T20:48:24.949035Z,LEAD,"eso, corte con máquina degradé"
L06,549261*****06,2026-06-12T20:48:24.966860Z,BOT,"Sí, hacemos degradé. Entra dentro del corte de pelo, $14.000."
L07,549261*****07,2026-06-17T20:26:19.952794Z,LEAD,corte y barba cuanto queda?
L07,549261*****07,2026-06-17T20:26:19.976671Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L07,549261*****07,2026-06-17T20:26:19.999906Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L07,549261*****07,2026-06-17T20:28:05.230869Z,LEAD,"buenísimo, después coordino"
L08,549261*****08,2026-06-19T16:36:29.015724Z,LEAD,dónde quedan?
L08,549261*****08,2026-06-19T16:36:29.024930Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L08,549261*****08,2026-06-19T17:11:26.030523Z,LEAD,"sí, la dirección"
L08,549261*****08,2026-06-19T17:11:26.068890Z,BOT,"Estamos en Godoy Cruz, cerca de la plaza. Te paso la ubicación cuando reserves el turno."
L09,549261*****09,2026-06-24T20:01:15.999244Z,LEAD,precio corte?
L09,549261*****09,2026-06-24T20:01:16.030526Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L09,549261*****09,2026-06-24T20:01:16.039349Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L09,549261*****09,2026-06-24T20:11:17.148962Z,LEAD,gracias!
L10,549261*****10,2026-06-27T14:49:31.795944Z,LEAD,Hola quería saber cuánto está el corte
L10,549261*****10,2026-06-27T14:49:31.827405Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L10,549261*****10,2026-06-27T14:49:31.852377Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L11,549261*****11,2026-07-01T17:21:33.244301Z,LEAD,Hola
L11,549261*****11,2026-07-01T17:21:33.289445Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L11,549261*****11,2026-07-01T17:23:22.319657Z,LEAD,Cuál es el precio del corte ?
L11,549261*****11,2026-07-01T17:23:22.337964Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L11,549261*****11,2026-07-01T17:24:11.741277Z,LEAD,Quiero reservar turno
L11,549261*****11,2026-07-01T17:24:11.747231Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L11,549261*****11,2026-07-01T17:27:26.068036Z,LEAD,"Necesito corte de pelo, ******92"
L11,549261*****11,2026-07-01T17:27:26.088769Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L12,549261*****12,2026-07-03T18:47:23.480906Z,LEAD,"buenas, quiero turno para corte y barba"
L12,549261*****12,2026-07-03T18:47:23.523577Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L12,549261*****12,2026-07-03T18:47:23.532565Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
